reportkey	Guardian incident url	lat	long	bundle	Guardian headline	dateoccurred	type	category	Guardian edited category	attackon	dcolor
CD9E751B-0079-431B-8C15-C3864B0FE0BF	http://www.guardian.co.uk/world/afghanistan/warlogs/CD9E751B-0079-431B-8C15-C3864B0FE0BF	31,94750023	64,64630127	260	Driver killed for running checkpoint	08.03.2007 11:40	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
3238A678-A23A-48AE-BCAD-E40FB287F362	http://www.guardian.co.uk/world/afghanistan/warlogs/3238A678-A23A-48AE-BCAD-E40FB287F362	31,20321083	66,07920074	68	"Driver killed for ""rushing"" convoy"	14.03.2007 05:13	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
EF0AF11D-78E4-4F22-8B2D-B5EDE6B4DFFF	http://www.guardian.co.uk/world/afghanistan/warlogs/EF0AF11D-78E4-4F22-8B2D-B5EDE6B4DFFF	33,65839005	68,9058075	287	US troops seeking to win support of villagers forced to feel by helicopter after angry argument	20.03.2007 03:30	Non-Combat Event	OTHER	OTHER	NEUTRAL	GREEN
0B4F081B-E448-4722-9E52-EA10DE4E0153	http://www.guardian.co.uk/world/afghanistan/warlogs/0B4F081B-E448-4722-9E52-EA10DE4E0153	32,6101799	69,32539368	21	Other government agency shoots deaf mute	21.03.2007 00:00	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
B1A12894-D007-4AE2-978B-788B43C45FA6	http://www.guardian.co.uk/world/afghanistan/warlogs/B1A12894-D007-4AE2-978B-788B43C45FA6	34,75244904	69,13437653	231	Dutch shoot 11 villagers in firefight error	28.03.2007 12:00	Enemy Action	Attack	Civilian casualties	ENEMY	RED
777933E9-2219-0B3F-9FA50356B1C31410	http://www.guardian.co.uk/world/afghanistan/warlogs/777933E9-2219-0B3F-9FA50356B1C31410	34,51667023	69,18332672	156	Anti-aircraft missiles clandestinely transported from Iran into Afghanistan Ð US report	01.04.2007 00:00	Threat Report	SAFIRE Threat	Other	ENEMY	RED
FD8117AE-6AC6-4CD0-BA4E-EBC19C0D1E68	http://www.guardian.co.uk/world/afghanistan/warlogs/FD8117AE-6AC6-4CD0-BA4E-EBC19C0D1E68	34,24174881	70,36173248	306	Police shoot rioting opium poppy growers	02.04.2007 07:00	Friendly Action	Escalation of Force	Demonstration/unrest	FRIEND	BLUE
B65ECDF0-ADCE-4FA8-96D6-B14E0DB7BFFE	http://www.guardian.co.uk/world/afghanistan/warlogs/B65ECDF0-ADCE-4FA8-96D6-B14E0DB7BFFE	31,60931015	64,41369629	235	Patrol shoot motorcyclist	07.04.2007 03:55	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
D7928D96-7135-4791-AF8A-4D6042E2D1E5	http://www.guardian.co.uk/world/afghanistan/warlogs/D7928D96-7135-4791-AF8A-4D6042E2D1E5	34,75244904	69,13437653	269	Opposition groups are puppets of Iran, Pakistan and India, Afghan officials tell US in private meeting	09.04.2007 09:00	Non-Combat Event	Meeting	Other	NEUTRAL	GREEN
4ED1AF5B-717A-458C-8EEE-A284F0D7AA34	http://www.guardian.co.uk/world/afghanistan/warlogs/4ED1AF5B-717A-458C-8EEE-A284F0D7AA34	31,69485092	68,70970154	95	Border police fire on Pakistani troops	09.04.2007 09:30	Friendly Fire	GREEN-GREEN	Afghan friendly fire	FRIEND	BLUE
4F23E148-B7AB-48BE-B57D-CE3F0B2A3BB5	http://www.guardian.co.uk/world/afghanistan/warlogs/4F23E148-B7AB-48BE-B57D-CE3F0B2A3BB5	34,75244904	69,13437653	96	Pakistani President Pervez Musharraf animated by Afghanistan and media	10.04.2007 12:00	Non-Combat Event	Meeting	Other	NEUTRAL	GREEN
2AFEC79B-0682-42D2-AE3C-471773869D87	http://www.guardian.co.uk/world/afghanistan/warlogs/2AFEC79B-0682-42D2-AE3C-471773869D87	33,45428085	68,49559021	57	Humvee gunner shoots at van. Three hurt in crash	11.04.2007 11:15	Non-Combat Event	Accident	Accident	NEUTRAL	GREEN
5DA51CE4-0182-466C-A8E9-AA7F9D932948	http://www.guardian.co.uk/world/afghanistan/warlogs/5DA51CE4-0182-466C-A8E9-AA7F9D932948	35,29756165	71,53930664	119	Police firing rocket grenades at civilians	12.04.2007 14:27	Friendly Fire	GREEN-GREEN	Afghan friendly fire	FRIEND	BLUE
4A13C7D1-B5D2-4608-9270-30E06E414A1B	http://www.guardian.co.uk/world/afghanistan/warlogs/4A13C7D1-B5D2-4608-9270-30E06E414A1B	34,75141907	70,86927795	87	Mortar round falls short, wounds two	15.04.2007 18:45	Friendly Fire	BLUE-BLUE	Coalition friendly fire	FRIEND	BLUE
006969BA-0CF9-4D45-8D18-417AC08D1F40	http://www.guardian.co.uk/world/afghanistan/warlogs/006969BA-0CF9-4D45-8D18-417AC08D1F40	32,88211823	69,42868805	4	US patrol drumming up local support finds villagers do not want to talk to them	16.04.2007 10:15	Non-Combat Event	Meeting	Other	NEUTRAL	GREEN
29CAAD3B-5BE0-4198-B643-9F0884241939	http://www.guardian.co.uk/world/afghanistan/warlogs/29CAAD3B-5BE0-4198-B643-9F0884241939	34,64643097	70,37814331	52	Poppy farmers shoot at police	18.04.2007 09:08	Friendly Fire	GREEN-GREEN	Demonstration/unrest	FRIEND	BLUE
34BF5867-9E11-41F0-A61F-951CE7BCEF37	http://www.guardian.co.uk/world/afghanistan/warlogs/34BF5867-9E11-41F0-A61F-951CE7BCEF37	33,44613266	69,9955368	69	Gunner at road-block kills 14-year-old girl and wounds toddler	19.04.2007 03:45	Explosive Hazard	IED Found/Cleared	Civilian casualties	ENEMY	RED
E3DA68B0-2820-47B8-B37B-DDE66F8F2657	http://www.guardian.co.uk/world/afghanistan/warlogs/E3DA68B0-2820-47B8-B37B-DDE66F8F2657	33,44612885	69,9955368	280	Teenage girl shot dead at checkpoint	19.04.2007 03:45	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
A0EFF4E8-D745-4D25-BB98-7D5EC9ABE5FE	http://www.guardian.co.uk/world/afghanistan/warlogs/A0EFF4E8-D745-4D25-BB98-7D5EC9ABE5FE	32,51903915	69,26405334	220	Army shoot at Pakistani troops on border	19.04.2007 09:00	Friendly Fire	GREEN-GREEN	Afghan friendly fire	FRIEND	BLUE
3ADD360F-B776-4A2A-9BA8-F710B5BE4842	http://www.guardian.co.uk/world/afghanistan/warlogs/3ADD360F-B776-4A2A-9BA8-F710B5BE4842	34,85327148	69,13498688	73	Afghan government seeking to maintain friendly relations with Iran	22.04.2007 12:00	Non-Combat Event	Other	Other	NEUTRAL	GREEN
597A0166-1CE5-44DE-9F36-A1A2BCA8365F	http://www.guardian.co.uk/world/afghanistan/warlogs/597A0166-1CE5-44DE-9F36-A1A2BCA8365F	31,89055061	64,73787689	115	Two US soldiers wounded	30.04.2007 00:00	Friendly Fire	BLUE-BLUE	Coalition friendly fire	FRIEND	BLUE
DF45480A-D35C-43FC-B103-912A329CA7A6	http://www.guardian.co.uk/world/afghanistan/warlogs/DF45480A-D35C-43FC-B103-912A329CA7A6	33,97386169	69,87142181	278	Border patrol firing on Pakistani troops	13.05.2007 04:30	Friendly Fire	GREEN-GREEN	Afghan friendly fire	FRIEND	BLUE
1B4A5759-5997-4FDE-86E0-D4B578CE9AF5	http://www.guardian.co.uk/world/afghanistan/warlogs/1B4A5759-5997-4FDE-86E0-D4B578CE9AF5	34,75244904	69,13437653	43	American and British officials in private discussions on best way to handle Afghan president Hamid Karzai	15.05.2007 12:00	Non-Combat Event	Meeting	Other	NEUTRAL	GREEN
B9FDFD17-D4C8-46D6-9729-A4C74DB9C8D0	http://www.guardian.co.uk/world/afghanistan/warlogs/B9FDFD17-D4C8-46D6-9729-A4C74DB9C8D0	33,94150925	69,71095276	237	Border patrol in artillery exchanges with Pakistan	16.05.2007 22:51	Friendly Fire	GREEN-GREEN	Afghan friendly fire	FRIEND	BLUE
3AA6AC94-DC1E-4B73-B0D9-984538770139	http://www.guardian.co.uk/world/afghanistan/warlogs/3AA6AC94-DC1E-4B73-B0D9-984538770139	34,75244904	69,13437653	72	Allegation of convoy shootings, not present in reporting	20.05.2007 12:00	Non-Combat Event	Meeting - Security	Other	NEUTRAL	GREEN
7BD4673E-2219-0B3F-9FB971084CE4BF3B	http://www.guardian.co.uk/world/afghanistan/warlogs/7BD4673E-2219-0B3F-9FB971084CE4BF3B	33,79666901	68,9411087	172	Pakistan's spies accused of arming Taliban ally with motorbikes for suicide attacks	21.05.2007 00:00	Threat Report	IED Threat	Other	ENEMY	RED
147D9CBA-4CB3-400B-90D2-BB0775E5DABA	http://www.guardian.co.uk/world/afghanistan/warlogs/147D9CBA-4CB3-400B-90D2-BB0775E5DABA	33,32929993	68,51325226	38	Gunner wounds road-menders by mistake	23.05.2007 16:50	Friendly Fire	BLUE-GREEN	Coalition friendly fire	FRIEND	BLUE
FBB2E232-422E-42D7-A016-5708845A6566	http://www.guardian.co.uk/world/afghanistan/warlogs/FBB2E232-422E-42D7-A016-5708845A6566	31,8404808	64,62114716	301	Afghan police versus army shoot-out	23.05.2007 22:14	Friendly Fire	GREEN-GREEN	Afghan friendly fire	FRIEND	BLUE
20C4B33D-29A5-418D-B246-2C6D890DA464	http://www.guardian.co.uk/world/afghanistan/warlogs/20C4B33D-29A5-418D-B246-2C6D890DA464	34,75244904	69,13437653	48	Iran stepping up its influence in Afghanistan, say US officials	24.05.2007 12:00	Non-Combat Event	Other	Other	NEUTRAL	GREEN
2A34FD1C-F601-40C8-8483-C8A6A64F818D	http://www.guardian.co.uk/world/afghanistan/warlogs/2A34FD1C-F601-40C8-8483-C8A6A64F818D	32,2677803	65,04860687	54	Missile strikes Apache helicopter	30.05.2007 16:34	Enemy Action	SAFIRE	Other	ENEMY	RED
9602FBFA-8614-4CE7-B9D9-188B4D4E68B5	http://www.guardian.co.uk/world/afghanistan/warlogs/9602FBFA-8614-4CE7-B9D9-188B4D4E68B5	32,27172852	65,04322815	214	Missile fired at Apache helicopters	30.05.2007 17:00	Enemy Action	SAFIRE	Other	ENEMY	RED
E9E91309-9BCF-45C3-9000-8308D34D1F09	http://www.guardian.co.uk/world/afghanistan/warlogs/E9E91309-9BCF-45C3-9000-8308D34D1F09	32,2756691	65,05137634	284	Taliban fire at helicopter	30.05.2007 17:28	Enemy Action	SAFIRE	Other	ENEMY	RED
208D4E99-4304-477C-A7C8-34E732481708	http://www.guardian.co.uk/world/afghanistan/warlogs/208D4E99-4304-477C-A7C8-34E732481708	32,62623978	65,87345886	47	Convoy in Dutch region shoots motorcyclist	02.06.2007 02:45	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
5A59747F-C45A-4D88-9FC1-651A01E28D38	http://www.guardian.co.uk/world/afghanistan/warlogs/5A59747F-C45A-4D88-9FC1-651A01E28D38	35,40510178	71,42983246	116	Afghan army fire on own troops	10.06.2007 16:30	Friendly Fire	GREEN-GREEN	Afghan friendly fire	FRIEND	BLUE
1F0B4848-4372-4A05-8D63-5622C8EB6900	http://www.guardian.co.uk/world/afghanistan/warlogs/1F0B4848-4372-4A05-8D63-5622C8EB6900	34,94144821	70,95745087	46	Patrol shoots at speeding truck, six casualties include 10-yr-old bystander	11.06.2007 12:00	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
35C17E54-C611-4F39-8C39-553F5927AC96	http://www.guardian.co.uk/world/afghanistan/warlogs/35C17E54-C611-4F39-8C39-553F5927AC96	34,27045822	70,06186676	70	US special forces gunship shoots 15 police	11.06.2007 19:15	Friendly Fire	BLUE-BLUE	Coalition friendly fire	FRIEND	BLUE
15A27543-B022-4736-AC31-71006B18794E	http://www.guardian.co.uk/world/afghanistan/warlogs/15A27543-B022-4736-AC31-71006B18794E	33,0050087	68,70246124	41	Special Ops squad assault compound and kill seven children	17.06.2007 21:00	Friendly Action	Other	Other	FRIEND	BLUE
88E77272-90AA-4E4A-A3B6-1170030793E7	http://www.guardian.co.uk/world/afghanistan/warlogs/88E77272-90AA-4E4A-A3B6-1170030793E7	33,58432007	69,26616669	194	Polish soldier shot in vehicle, apparently by accident	19.06.2007 05:40	Friendly Fire	BLUE-BLUE	Coalition friendly fire	FRIEND	BLUE
7C1F581E-2219-0B3F-9FED03A38DB429FB	http://www.guardian.co.uk/world/afghanistan/warlogs/7C1F581E-2219-0B3F-9FED03A38DB429FB	34,54193878	69,34889221	178	Al-Qaida believed to be planning to attack Afghan security forces	29.06.2007 00:00	Threat Report	IED Threat	Other	ENEMY	RED
18E315AD-D448-4EE3-B70C-CC5D73CE54F2	http://www.guardian.co.uk/world/afghanistan/warlogs/18E315AD-D448-4EE3-B70C-CC5D73CE54F2	31,61578941	65,74836731	42	Convoy repeatedly shoots at civilian vehicles, killing two, wounding five	02.07.2007 08:10	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
63D957C5-BE20-47F4-B786-CC5B42A23816	http://www.guardian.co.uk/world/afghanistan/warlogs/63D957C5-BE20-47F4-B786-CC5B42A23816	33,52687836	68,4405365	124	"Supply convoy gunner kills motorcyclist; ""negative media"" feared"	03.07.2007 02:20	Non-Combat Event	Accident	Accident	NEUTRAL	GREEN
D2353FE6-5C8A-4225-BB92-C8F3EF90B6CC	http://www.guardian.co.uk/world/afghanistan/warlogs/D2353FE6-5C8A-4225-BB92-C8F3EF90B6CC	33,59341049	69,22849274	266	70-year-old driver shot in chest by convoy	09.07.2007 00:05	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
8A71F746-2040-469D-A3BB-0AF7BFE600B0	http://www.guardian.co.uk/world/afghanistan/warlogs/8A71F746-2040-469D-A3BB-0AF7BFE600B0	33,15853882	68,05754852	198	Police trooper wounded by friendly fire	12.07.2007 17:55	Friendly Fire	BLUE-BLUE	Coalition friendly fire	FRIEND	BLUE
7FA42466-B2D2-46B6-AC73-B5F6E192811B	http://www.guardian.co.uk/world/afghanistan/warlogs/7FA42466-B2D2-46B6-AC73-B5F6E192811B	31,69897079	65,6398468	181	Patrol shoots motorcyclist in Kandahar	13.07.2007 01:35	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
DB347373-DC19-4618-B6A5-CE65CBFCE599	http://www.guardian.co.uk/world/afghanistan/warlogs/DB347373-DC19-4618-B6A5-CE65CBFCE599	31,18297005	62,47525024	274	Missile fired at C-130 gunship	22.07.2007 18:20	Enemy Action	SAFIRE	Other	ENEMY	RED
811B6A3C-64DE-47BC-9C0B-3AF071E48D71	http://www.guardian.co.uk/world/afghanistan/warlogs/811B6A3C-64DE-47BC-9C0B-3AF071E48D71	32,62630081	65,87243652	184	Australians mistakenly shoot driver	24.07.2007 08:45	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
51AA67B4-0E60-4D5B-8A33-3EA93B410E72	http://www.guardian.co.uk/world/afghanistan/warlogs/51AA67B4-0E60-4D5B-8A33-3EA93B410E72	31,81407928	64,56891632	103	Car-driver shot near troops in Danish/UK area	24.07.2007 09:00	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
3FAD0142-D945-4E1E-9AED-F5699763CDA5	http://www.guardian.co.uk/world/afghanistan/warlogs/3FAD0142-D945-4E1E-9AED-F5699763CDA5	32,62623978	65,87345886	76	Two children in vehicle shot at checkpoint	25.07.2007 11:28	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
CD1C58ED-B7F5-4F98-A349-70BF06FDF6D1	http://www.guardian.co.uk/world/afghanistan/warlogs/CD1C58ED-B7F5-4F98-A349-70BF06FDF6D1	33,13362122	68,83656311	259	Many Afghans think American troops are in cahoots with the Taliban, report says	29.07.2007 15:25	Non-Combat Event	Other	Other	NEUTRAL	GREEN
155CB3A7-F366-4BC2-A722-DEC1995A9467	http://www.guardian.co.uk/world/afghanistan/warlogs/155CB3A7-F366-4BC2-A722-DEC1995A9467	32,69652939	65,91409302	40	Civilian driver shot dead at checkpoint	01.08.2007 05:59	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
8BE4333B-F2B9-4528-9C05-AAB1B5362011	http://www.guardian.co.uk/world/afghanistan/warlogs/8BE4333B-F2B9-4528-9C05-AAB1B5362011	32,84109116	65,03391266	200	Strike on meeting of Taliban leaders	02.08.2007 07:56	Friendly Action	OTHER OFFENSIVE	Other	FRIEND	BLUE
66209C23-7937-4FD3-8E91-95DBBA36C219	http://www.guardian.co.uk/world/afghanistan/warlogs/66209C23-7937-4FD3-8E91-95DBBA36C219	32,64881134	65,55082703	131	Patrol kills motorcyclist	05.08.2007 12:43	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
BB12AE11-6BA0-4968-A166-4D6DDC38B508	http://www.guardian.co.uk/world/afghanistan/warlogs/BB12AE11-6BA0-4968-A166-4D6DDC38B508	34,54388046	69,28227234	238	US patrol shoots up own side's vehicle	05.08.2007 19:40	Friendly Fire	BLUE-BLUE	Coalition friendly fire	FRIEND	BLUE
76C02860-1EF8-49FC-9D97-B8D0FE370FE9	http://www.guardian.co.uk/world/afghanistan/warlogs/76C02860-1EF8-49FC-9D97-B8D0FE370FE9	31,81962013	64,55845642	142	Patrol shoots tanker driver	07.08.2007 14:30	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
B6065BE7-1E82-4B2A-A856-846164903824	http://www.guardian.co.uk/world/afghanistan/warlogs/B6065BE7-1E82-4B2A-A856-846164903824	34,57094955	69,27800751	234	Portuguese convoy wounds vehicle driver and bystander in Kabul	15.08.2007 13:38	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
FDC28DA5-3118-4E34-B6FB-20F0A2793533	http://www.guardian.co.uk/world/afghanistan/warlogs/FDC28DA5-3118-4E34-B6FB-20F0A2793533	31,63599014	65,56671906	307	"Civilian killed after ""warning shots"""	16.08.2007 08:30	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
5EA14116-2B6B-470C-8DB4-2912DDF197BF	http://www.guardian.co.uk/world/afghanistan/warlogs/5EA14116-2B6B-470C-8DB4-2912DDF197BF	32,43878937	68,35555267	121	Polish attack on village kills five, wounds several, including pregnant woman at wedding party	16.08.2007 10:30	Friendly Fire	BLUE-GREEN	Coalition friendly fire	FRIEND	BLUE
7BEAFEEF-2219-0B3F-9FAFF50618F58944	http://www.guardian.co.uk/world/afghanistan/warlogs/7BEAFEEF-2219-0B3F-9FAFF50618F58944	34,51667023	69,18332672	176	Taliban sympathisers listening in to top-secret phone calls of US-led coalition	22.08.2007 00:00	Threat Report	Other	Other	ENEMY	RED
50BFE1EB-CAAF-440E-A0F0-F89FB246A060	http://www.guardian.co.uk/world/afghanistan/warlogs/50BFE1EB-CAAF-440E-A0F0-F89FB246A060	32,34920883	65,08226013	102	US drops bomb on British , killing three and wounding two	23.08.2007 13:54	Friendly Fire	BLUE-BLUE	Coalition friendly fire	FRIEND	BLUE
CDBD577A-73BB-4E54-B0A5-6B4A78D480F7	http://www.guardian.co.uk/world/afghanistan/warlogs/CDBD577A-73BB-4E54-B0A5-6B4A78D480F7	32,33164978	65,19434357	261	Rocket fired at British Harrier	23.08.2007 21:43	Enemy Action	SAFIRE	Other	ENEMY	RED
C04BEED8-71F3-4855-A47D-CB5FBEA9237E	http://www.guardian.co.uk/world/afghanistan/warlogs/C04BEED8-71F3-4855-A47D-CB5FBEA9237E	34,75244904	69,13437653	243	British rethinking its approach to Afghanistan, according to report of meeting with American officials 	25.08.2007 17:00	Non-Combat Event	Meeting	Other	NEUTRAL	GREEN
F4FAC8A3-6469-45E1-9C8C-DB79B34ACBE7	http://www.guardian.co.uk/world/afghanistan/warlogs/F4FAC8A3-6469-45E1-9C8C-DB79B34ACBE7	32,64847946	65,90155792	292	Patrol shoots local driver	28.08.2007 02:50	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
C2128C7D-C92F-4A5A-BDC8-42EE00359996	http://www.guardian.co.uk/world/afghanistan/warlogs/C2128C7D-C92F-4A5A-BDC8-42EE00359996	31,98008919	67,36264038	248	Army NCO shoots three of his own men	29.08.2007 02:32	Friendly Fire	GREEN-GREEN	Afghan friendly fire	FRIEND	BLUE
649CF830-8636-42D8-BE27-F89B5A9F57A4	http://www.guardian.co.uk/world/afghanistan/warlogs/649CF830-8636-42D8-BE27-F89B5A9F57A4	31,81424141	64,56960297	126	Many civilian casualties as suicide bomber targets police chief	10.09.2007 14:12	Explosive Hazard	IED Explosion	Civilian casualties	ENEMY	RED
2A9ECFD9-9419-4EB5-AEBA-D26E085EF98C	http://www.guardian.co.uk/world/afghanistan/warlogs/2A9ECFD9-9419-4EB5-AEBA-D26E085EF98C	34,53065872	69,07627106	56	Army gunfight with another army unit	12.09.2007 17:15	Friendly Fire	GREEN-GREEN	Afghan friendly fire	FRIEND	BLUE
F036C70F-C127-4E4B-B3A5-30B9EB06AE16	http://www.guardian.co.uk/world/afghanistan/warlogs/F036C70F-C127-4E4B-B3A5-30B9EB06AE16	31,87821007	64,76875305	291	Afghan soldier shoots at allies and is wounded	20.09.2007 03:22	Friendly Fire	BLUE-BLUE	Coalition friendly fire	FRIEND	BLUE
AD98440F-A5F9-4AF5-AAAC-C3C5551AAACD	http://www.guardian.co.uk/world/afghanistan/warlogs/AD98440F-A5F9-4AF5-AAAC-C3C5551AAACD	34,66627121	70,20928955	227	Three civilians shot by Afghan army	21.09.2007 04:30	Friendly Fire	GREEN-GREEN	Civilian casualties	FRIEND	BLUE
52563481-9AB4-42C6-BFBB-85EE138082ED	http://www.guardian.co.uk/world/afghanistan/warlogs/52563481-9AB4-42C6-BFBB-85EE138082ED	31,85283089	64,7111969	104	Two motorcyclists shot and wounded at checkpoint	02.10.2007 03:34	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
D9AC3726-493A-4D07-A71C-425FEB88C471	http://www.guardian.co.uk/world/afghanistan/warlogs/D9AC3726-493A-4D07-A71C-425FEB88C471	34,55027008	69,24960327	273	"British troops wound non-combatant with ""warning shot"" in Kabul"	04.10.2007 08:50	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
0E3E352B-D610-4FCC-BDFE-CD4932709CED	http://www.guardian.co.uk/world/afghanistan/warlogs/0E3E352B-D610-4FCC-BDFE-CD4932709CED	32,35569	68,3048172	24	Special forces wound two, kill six, including young girl, plus donkey and chickens	04.10.2007 20:45	Friendly Action	Cordon/Search	Civilian casualties	FRIEND	BLUE
6CB67BF5-BC60-41C4-AFC6-80BACE7A28CC	http://www.guardian.co.uk/world/afghanistan/warlogs/6CB67BF5-BC60-41C4-AFC6-80BACE7A28CC	32,62604904	65,8736496	135	"Two civilians machine-gunned for ""driving in on"" patrol"	06.10.2007 06:50	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
A6CE8E85-6B84-4826-B5D1-81AF76F465D2	http://www.guardian.co.uk/world/afghanistan/warlogs/A6CE8E85-6B84-4826-B5D1-81AF76F465D2	33,13362122	68,83656311	224	Villagers blamed for  civilian deaths	06.10.2007 14:55	Non-Combat Event	Other	Other	NEUTRAL	GREEN
4258E56C-BA11-41B9-8F40-F00F21E2BCAB	http://www.guardian.co.uk/world/afghanistan/warlogs/4258E56C-BA11-41B9-8F40-F00F21E2BCAB	31,60246086	64,37110901	80	"Man killed vehicle ""too close"" to patrol"	19.10.2007 10:10	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
864553FB-7FC2-4F97-9E9B-5DC7941F9DF7	http://www.guardian.co.uk/world/afghanistan/warlogs/864553FB-7FC2-4F97-9E9B-5DC7941F9DF7	34,55213165	69,36927795	188	A British shooting in Kabul: two interpreters wounded	21.10.2007 00:45	Friendly Fire	BLUE-on-WHITE	Civilian casualties	FRIEND	BLUE
D2DF6511-A8BB-4E09-90B6-4ABBE794E514	http://www.guardian.co.uk/world/afghanistan/warlogs/D2DF6511-A8BB-4E09-90B6-4ABBE794E514	32,07389832	64,83500671	267	Afghan soldier shoots civilian in face for not stopping	21.10.2007 04:06	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
52C1BD8D-28BA-4171-81C9-72F82BB800EE	http://www.guardian.co.uk/world/afghanistan/warlogs/52C1BD8D-28BA-4171-81C9-72F82BB800EE	34,51158905	69,19500732	106	Armoured car shoots Kabul truck-driver in the leg	23.10.2007 14:34	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
BD6DFA1C-ACE6-4E9A-B4AD-A9340B714DED	http://www.guardian.co.uk/world/afghanistan/warlogs/BD6DFA1C-ACE6-4E9A-B4AD-A9340B714DED	34,54817963	69,24999237	240	British 'warning shot' wounds Kabul passer-by	25.10.2007 17:50	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
07364408-A7FD-42B9-A1CC-B6CF5753565D	http://www.guardian.co.uk/world/afghanistan/warlogs/07364408-A7FD-42B9-A1CC-B6CF5753565D	34,54624176	69,23399353	9	Another British killing in Kabul causes trouble	06.11.2007 06:45	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
F8E22ECB-6B68-4443-8567-A89BBD1A5E64	http://www.guardian.co.uk/world/afghanistan/warlogs/F8E22ECB-6B68-4443-8567-A89BBD1A5E64	31,61174011	65,75646973	297	"Taxi ""came too close"". One person shot and wounded"	15.11.2007 06:12	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
7BC2F378-2219-0B3F-9F595237BDDB2B74	http://www.guardian.co.uk/world/afghanistan/warlogs/7BC2F378-2219-0B3F-9F595237BDDB2B74	34,51667023	69,18332672	171	Threat of attack against Indian consulate	18.11.2007 00:00	Threat Report	Attack Threat	Other	ENEMY	RED
0ACA3641-0F6D-4080-ABF8-A2D0F833D290	http://www.guardian.co.uk/world/afghanistan/warlogs/0ACA3641-0F6D-4080-ABF8-A2D0F833D290	35,03475189	70,37377167	308	Attack on top Taliban	26.11.2007 04:45	Friendly Action	OTHER OFFENSIVE	Other	FRIEND	BLUE
939D927D-7EBF-40C4-97E4-385F5209D528	http://www.guardian.co.uk/world/afghanistan/warlogs/939D927D-7EBF-40C4-97E4-385F5209D528	32,60322952	65,85460663	213	Army troops shoot own soldier	28.11.2007 09:30	Friendly Fire	GREEN-GREEN	Afghan friendly fire	FRIEND	BLUE
9074E0CC-4702-480E-AFD2-C8518291EC56	http://www.guardian.co.uk/world/afghanistan/warlogs/9074E0CC-4702-480E-AFD2-C8518291EC56	33,09835052	68,31317139	209	Police fire on each other	02.12.2007 16:35	Friendly Fire	GREEN-GREEN	Afghan friendly fire	FRIEND	BLUE
C9F6D930-71C0-4F2C-92E1-D095355DB679	http://www.guardian.co.uk/world/afghanistan/warlogs/C9F6D930-71C0-4F2C-92E1-D095355DB679	31,54305077	65,45433807	256	"Police in ""standoff"" with each other"	04.12.2007 11:20	Friendly Fire	GREEN-GREEN	Afghan friendly fire	FRIEND	BLUE
7BE4D28D-2219-0B3F-9FABAB3009D93A85	http://www.guardian.co.uk/world/afghanistan/warlogs/7BE4D28D-2219-0B3F-9FABAB3009D93A85	34,51667023	69,18332672	174	Pakistani intelligence agency alleged to be deploying children as suicide bombers	19.12.2007 00:10	Threat Report	Attack Threat	Other	ENEMY	RED
65F00184-F3AE-43DF-8069-7CF3FE6A8FFC	http://www.guardian.co.uk/world/afghanistan/warlogs/65F00184-F3AE-43DF-8069-7CF3FE6A8FFC	34,57976532	70,59616089	130	Afghan woman claims she is only transporting suicide vest to intended user and had no plans to explode it	23.12.2007 09:03	Explosive Hazard	Interdiction	Other	ENEMY	RED
DDFC004F-38BE-41EB-9E67-46D1A251EADE	http://www.guardian.co.uk/world/afghanistan/warlogs/DDFC004F-38BE-41EB-9E67-46D1A251EADE	32,34553146	64,76186371	276	Afghan soldiers kill civilian on moped	28.12.2007 10:05	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
