reportkey	Guardian incident url	lat	long	bundle	Guardian headline	dateoccurred	type	category	Guardian edited category	attackon	dcolor
A1405C26-F867-4CEF-A47E-955C0DEB4B66	http://www.guardian.co.uk/world/afghanistan/warlogs/A1405C26-F867-4CEF-A47E-955C0DEB4B66	33,38805008	69,37438202	221	Rocks thrown at police for allowing multiple votes	18.09.2005 05:42	Friendly Fire	GREEN-GREEN	Afghan friendly fire	FRIEND	BLUE
642A24DB-CBFA-4697-9194-75291EB39955	http://www.guardian.co.uk/world/afghanistan/warlogs/642A24DB-CBFA-4697-9194-75291EB39955	32,65179062	66,79988098	125	"Army troops fight each other ""due to miscommunication"""	18.09.2005 06:37	Friendly Fire	GREEN-GREEN	Afghan friendly fire	FRIEND	BLUE
555B3FE0-1D32-49CC-A051-262C8D9F008B	http://www.guardian.co.uk/world/afghanistan/warlogs/555B3FE0-1D32-49CC-A051-262C8D9F008B	32,65896988	69,20794678	108	Afghans fire rocket grenades at each other	21.09.2005 13:51	Friendly Fire	GREEN-GREEN	Afghan friendly fire	FRIEND	BLUE
743255D0-379A-42E3-B3EB-5AD05689F4F7	http://www.guardian.co.uk/world/afghanistan/warlogs/743255D0-379A-42E3-B3EB-5AD05689F4F7	31,62190056	65,70301819	141	Afghan blows up neighbours	10.10.2005 05:36	Friendly Fire	GREEN-GREEN	Demonstration/unrest	FRIEND	BLUE
056D563B-0E67-41D8-9D3D-DAF45D9939EB	http://www.guardian.co.uk/world/afghanistan/warlogs/056D563B-0E67-41D8-9D3D-DAF45D9939EB	34,66267014	70,2081604	8	Army shoot-out with police wounds three	27.10.2005 13:58	Friendly Fire	GREEN-GREEN	Afghan friendly fire	FRIEND	BLUE
F55F2EDE-0285-491B-AF21-4D6704D51489	http://www.guardian.co.uk/world/afghanistan/warlogs/F55F2EDE-0285-491B-AF21-4D6704D51489	31,52751923	65,60133362	293	"Army kill policemen at checkpoint for ""wrong password"""	27.11.2005 20:27	Friendly Fire	GREEN-GREEN	Afghan friendly fire	FRIEND	BLUE
77AC1BD5-2219-0B3F-9FE54EC0894673E0	http://www.guardian.co.uk/world/afghanistan/warlogs/77AC1BD5-2219-0B3F-9FE54EC0894673E0	31	64	161	Bin Laden's adviser alleged to have flown to North Korea to buy weapons	03.12.2005 00:00	Threat Report	SAFIRE Threat	Other	ENEMY	RED
2A525398-6352-4033-A07B-6FC87D853ED3	http://www.guardian.co.uk/world/afghanistan/warlogs/2A525398-6352-4033-A07B-6FC87D853ED3	32,9289093	69,46206665	55	US Special Forces attack militants escaping into Pakistan	21.12.2005 22:32	Enemy Action	Direct Fire	Other	ENEMY	RED
DE42A140-C2DB-4D1E-ACE1-75AD923C65BA	http://www.guardian.co.uk/world/afghanistan/warlogs/DE42A140-C2DB-4D1E-ACE1-75AD923C65BA	31,75621223	67,44221497	277	"Police ""assault several villages"" after kidnap"	23.12.2005 12:00	Friendly Fire	GREEN-GREEN	Afghan friendly fire	FRIEND	BLUE
7737DB17-2219-0B3F-9F9EECCAF92FFCAD	http://www.guardian.co.uk/world/afghanistan/warlogs/7737DB17-2219-0B3F-9F9EECCAF92FFCAD	31,60778046	65,70527649	149	Afghan workers allegedly threatened by Taliban for handing over mobile phone information	14.01.2006 00:00	Threat Report	Other	Other	ENEMY	RED
0C943799-1727-40C0-BCD8-30B5BAF1E88E	http://www.guardian.co.uk/world/afghanistan/warlogs/0C943799-1727-40C0-BCD8-30B5BAF1E88E	31,55846024	65,84230042	22	Shots fired at special forces vehicle	04.03.2006 19:11	Friendly Fire	BLUE-BLUE	Coalition friendly fire	FRIEND	BLUE
773D949B-2219-0B3F-9FD6B09183E00C9F	http://www.guardian.co.uk/world/afghanistan/warlogs/773D949B-2219-0B3F-9FD6B09183E00C9F	34,52677917	69,13668823	151	Al-Qaida's allies in Afghanistan plan summer attacks, according to US military log	17.03.2006 00:00	Threat Report	IED Threat	Other	ENEMY	RED
73835ECE-FBCF-42FD-827C-29DBDA7FD2C8	http://www.guardian.co.uk/world/afghanistan/warlogs/73835ECE-FBCF-42FD-827C-29DBDA7FD2C8	31,09316063	66,32673645	140	Civilian wounded at French checkpoint for not stopping	28.03.2006 06:30	Non-Combat Event	Other	Other	NEUTRAL	GREEN
89509D67-096E-4DCD-BC5F-0D6BBF0FF894	http://www.guardian.co.uk/world/afghanistan/warlogs/89509D67-096E-4DCD-BC5F-0D6BBF0FF894	0	0	196	British convoy shoots 13 Afghan police in darkness	06.04.2006 00:00	Friendly Fire	BLUE-GREEN	Coalition friendly fire	FRIEND	BLUE
EFF10CCB-C4CB-4BEE-A06E-971855C4AB81	http://www.guardian.co.uk/world/afghanistan/warlogs/EFF10CCB-C4CB-4BEE-A06E-971855C4AB81	33,67348099	69,32362366	290	Tribal fighting over water kills two	26.04.2006 08:35	Friendly Fire	GREEN-GREEN	Civilian casualties	FRIEND	BLUE
7763A626-2219-0B3F-9F9F8C222639963D	http://www.guardian.co.uk/world/afghanistan/warlogs/7763A626-2219-0B3F-9F9F8C222639963D	34,51667023	69,18332672	153	Insurgents planning to deliver home-made bombs in 20 vehicles bought in Pakistan and Iran, according to coalition report	21.05.2006 00:00	Threat Report	Other	Other	ENEMY	RED
A7DC110D-3541-4168-9A2C-149F74EB273B	http://www.guardian.co.uk/world/afghanistan/warlogs/A7DC110D-3541-4168-9A2C-149F74EB273B	33,28630829	69,91285706	225	Two tribes start fighting	27.05.2006 04:26	Friendly Fire	GREEN-GREEN	Demonstration/unrest	FRIEND	BLUE
77786946-2219-0B3F-9F23E696590CB501	http://www.guardian.co.uk/world/afghanistan/warlogs/77786946-2219-0B3F-9F23E696590CB501	34,51667023	69,18332672	155	US claims Iran spies helping insurgents to attack coalition forces	03.06.2006 00:00	Threat Report	Other	Other	ENEMY	RED
0047EF85-B244-40BA-82E0-1EF7E7A26E1A	http://www.guardian.co.uk/world/afghanistan/warlogs/0047EF85-B244-40BA-82E0-1EF7E7A26E1A	34,27484894	69,90167236	2	Land dispute pits villagers against each other	17.06.2006 02:30	Friendly Fire	GREEN-GREEN	Demonstration/unrest	FRIEND	BLUE
30BE5EBF-A6EE-4F13-84F8-664E8E2A2D3F	http://www.guardian.co.uk/world/afghanistan/warlogs/30BE5EBF-A6EE-4F13-84F8-664E8E2A2D3F	33,13573074	69,50980377	65	"Tribes feud over land with ""heavy small arms fire"""	20.06.2006 05:57	Friendly Fire	GREEN-GREEN	Demonstration/unrest	FRIEND	BLUE
55BC0498-D10B-45DC-BB1F-C779ADB30B1B	http://www.guardian.co.uk/world/afghanistan/warlogs/55BC0498-D10B-45DC-BB1F-C779ADB30B1B	33,20370102	69,86155701	110	Four tribes start fighting	30.06.2006 07:30	Friendly Fire	GREEN-GREEN	Demonstration/unrest	FRIEND	BLUE
6FD29B15-AA71-45B1-BCEC-809A38402866	http://www.guardian.co.uk/world/afghanistan/warlogs/6FD29B15-AA71-45B1-BCEC-809A38402866	33,54450989	68,43019104	137	Mine clearance convoy shoots driver for not getting out of way	09.07.2006 06:30	Friendly Action	Attack	Civilian casualties	FRIEND	BLUE
772DE21C-2219-0B3F-9F29789162135989	http://www.guardian.co.uk/world/afghanistan/warlogs/772DE21C-2219-0B3F-9F29789162135989	31,60778046	65,70527649	147	Al-Qaida alleged to be involved in rocket smuggling	11.07.2006 21:00	Threat Report	Attack Threat	Other	ENEMY	RED
77482ACF-2219-0B3F-9F081FFA1C1AAC05	http://www.guardian.co.uk/world/afghanistan/warlogs/77482ACF-2219-0B3F-9F081FFA1C1AAC05	36,84555817	68,7472229	152	Insurgent reportedly given Arab wife by Bin Laden for his explosive exploits	14.07.2006 00:00	Threat Report	IED Threat	Other	ENEMY	RED
0063D735-2B3F-49B9-97FC-D9745CED1CF9	http://www.guardian.co.uk/world/afghanistan/warlogs/0063D735-2B3F-49B9-97FC-D9745CED1CF9	31,67173958	68,01790619	3	Two border tribes fighting	15.07.2006 06:35	Friendly Fire	GREEN-GREEN	Demonstration/unrest	FRIEND	BLUE
14C70F35-A6CA-4614-8002-5FC8867F37A0	http://www.guardian.co.uk/world/afghanistan/warlogs/14C70F35-A6CA-4614-8002-5FC8867F37A0	35,01573181	69,16660309	39	Police in gunfight after army run over child	15.08.2006 06:20	Friendly Fire	GREEN-GREEN	Afghan friendly fire	FRIEND	BLUE
7708CDAE-2219-0B3F-9FFA8E46CFBBEC8B	http://www.guardian.co.uk/world/afghanistan/warlogs/7708CDAE-2219-0B3F-9FFA8E46CFBBEC8B	35,92139053	64,78360748	143	Osama Bin Laden reported to have issued orders to suicide bombers in Afghanistan	16.08.2006 15:50	Threat Report	IED Threat	Other	ENEMY	RED
77725DD9-2219-0B3F-9FDA54548B0B2EA7	http://www.guardian.co.uk/world/afghanistan/warlogs/77725DD9-2219-0B3F-9FDA54548B0B2EA7	32,93333054	66,6333313	154	Taliban commander allegedly said their relationship with Iran was strong, US claims	20.08.2006 00:00	Threat Report	Attack Threat	Other	ENEMY	RED
420C2194-E3AF-4C79-9080-2EAD5774BEA4	http://www.guardian.co.uk/world/afghanistan/warlogs/420C2194-E3AF-4C79-9080-2EAD5774BEA4	31,62537956	65,44068909	79	Afghan police and children die in shoot-out	26.08.2006 07:45	Friendly Fire	GREEN-GREEN	Afghan friendly fire	FRIEND	BLUE
C7D0AA09-3145-40A7-8B29-F49B5B659501	http://www.guardian.co.uk/world/afghanistan/warlogs/C7D0AA09-3145-40A7-8B29-F49B5B659501	31,54976082	65,43344879	253	"Bomb dropped on building. Twelve ""friendly"" casualties"	03.09.2006 04:14	Friendly Fire	Blue-Blue	Coalition friendly fire	FRIEND	BLUE
77300124-2219-0B3F-9F7CACB4ECB9B8C1	http://www.guardian.co.uk/world/afghanistan/warlogs/77300124-2219-0B3F-9F7CACB4ECB9B8C1	34,51667023	69,18332672	148	Female suicide bombers alleged to have infiltrated Afghanistan from Pakistan	18.10.2006 00:00	Threat Report	IED Threat	Other	ENEMY	RED
7BB50A11-2219-0B3F-9F71831777CF8EE3	http://www.guardian.co.uk/world/afghanistan/warlogs/7BB50A11-2219-0B3F-9F71831777CF8EE3	31,11667061	64,19999695	170	Iranians alleged to be sheltering wounded Taliban fighters in Tehran	20.10.2006 00:00	Threat Report	SAFIRE Threat	Other	ENEMY	RED
